Title,Release Year,End Year,Rating,Cast,Runtime,Genre
Atlanta,2016.0,2022.0,8.6,"Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz",30 min,"Comedy, Drama, Music"
Gilmore Girls,2000.0,2007.0,8.2,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson",44 min,"Comedy, Drama"
Lost,2004.0,2010.0,8.3,"Jorge Garcia, Josh Holloway, Naveen Andrews, Matthew Fox",44 min,"Adventure, Drama, Fantasy"
One Tree Hill,2003.0,2012.0,7.8,"Chad Michael Murray, James Lafferty, Hilarie Burton, Bethany Joy Lenz",60 min,"Drama, Romance, Sport"
The Sinner,2017.0,2021.0,7.9,"Bill Pullman, Jessica Hecht, Dohn Norwood, Adam LeFevre",45 min,"Crime, Drama, Mystery"
Columbo,1971.0,2003.0,8.3,"Peter Falk, Mike Lally, John Finnegan, Bruce Kirby",100 min,"Crime, Drama, Mystery"
The X Files,1993.0,2018.0,8.6,"David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis",45 min,"Crime, Drama, Mystery"
How I Met Your Mother,2005.0,2014.0,8.3,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",22 min,"Comedy, Romance"
That '70s Show,1998.0,2006.0,8.1,"Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson",22 min,"Comedy, Drama, Romance"
George & Tammy,2022.0,2023.0,7.5,"Jessica Chastain, Michael Shannon, Steve Zahn, David Wilson Barnes",48 min,"Biography, Drama, History"
New Girl,2011.0,2018.0,7.8,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",22 min,"Comedy, Romance"
True Blood,2008.0,2014.0,7.9,"Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten",55 min,"Drama, Fantasy, Mystery"
Community,2009.0,2015.0,8.5,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",22 min,Comedy
Sons of Anarchy,2008.0,2014.0,8.6,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",45 min,"Crime, Drama, Thriller"
The Vampire Diaries,2009.0,2017.0,7.7,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",43 min,"Drama, Fantasy, Horror"
ER,1994.0,2009.0,7.9,"Anthony Edwards, George Clooney, Julianna Margulies, Eriq La Salle",44 min,"Drama, Romance"
Detectorists,2014.0,2022.0,8.6,"Mackenzie Crook, Toby Jones, Rachael Stirling, Gerard Horan",30 min,Comedy
Sherlock,2010.0,2017.0,9.1,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",88 min,"Crime, Drama, Mystery"
Parks and Recreation,2009.0,2015.0,8.6,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt",22 min,Comedy
Buffy the Vampire Slayer,1997.0,2003.0,8.3,"Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan, Anthony Head",44 min,"Action, Drama, Fantasy"
Westworld,2016.0,2022.0,8.5,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton",62 min,"Drama, Mystery, Sci-Fi"
Castle,2009.0,2016.0,8.1,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas",43 min,"Comedy, Crime, Drama"
Two and a Half Men,2003.0,2015.0,7.1,"Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell",22 min,"Comedy, Romance"
The Umbrella Academy,2019.0,2023.0,7.9,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman",60 min,"Action, Adventure, Comedy"
Dexter,2006.0,2013.0,8.7,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",53 min,"Crime, Drama, Mystery"
