Title,Release Year,End Year,Rating,Cast,Runtime,Genre
Do Over,2002.0,2003.0,8.4,"Penn Badgley, Angela Goethals, Josh Wise, Natasha Melnick",30 min,"Comedy, Drama, Fantasy"
Max & Ruby,2002.0,2021.0,6.1,"Lorraine Parsloe, Lynn Cleckner, Loretta Jafelice, Juliet Rusche",30 min,"Animation, Family"
Cracker,1997.0,1998.0,6.1,"Robert Pastorelli, Carolyn McCormick, Josh Hartnett, Robert Wisdom",60 min,"Crime, Drama, Mystery"
The Rosie O'Donnell Show,1996.0,2002.0,4,"Rosie O'Donnell, Caroline Rhea, Susan Lucci, Penny Marshall",60 min,"Comedy, Talk-Show"
Kirby Buckets,2014.0,2017.0,4.9,"Jacob Bertrand, Mekai Curtis, Cade Sutton, Olivia Stuck",23 min,"Animation, Comedy, Family"
SCTV Network 90,1981.0,1983.0,8.4,"John Candy, Joe Flaherty, Eugene Levy, Andrea Martin",90 min,Comedy
Some Girls,2012.0,2014.0,7.6,"Adelayo Adedayo, Natasha Jonas, Alice Felgate, Mandeep Dhillon",30 min,Comedy
Adini Feriha Koydum,2011.0,2012.0,5.6,"Çagatay Ulusoy, Deniz Ugur, Yusuf Akgün, Feyza Civelek",120 min,"Drama, Romance"
Broad City,2010.0,2011.0,8.6,"Abbi Jacobson, Ilana Glazer, Eliot Glazer, Josh Patten",****,"Short, Comedy"
La fea más bella,2006.0,2007.0,5.9,"Angélica Vale, Jaime Camil, Patricia Navidad, Angélica María",45 min,"Comedy, Drama, Romance"
Bad Boys,1995.0,1996.0,6.8,"Karl Howman, Freddie Boardley, Alex Norton, Sally Howitt",****,Comedy
"Me, Myself and I",2017.0,2018.0,7.2,"Bobby Moynihan, Jack Dylan Grazer, Brian Unger, Jaleel White",30 min,Comedy
Duty Free,1984.0,1986.0,6.4,"Keith Barron, Gwen Taylor, Joanna Van Gyseghem, Neil Stacy",30 min,Comedy
The Yellow Rose,1983.0,1984.0,7.4,"Sam Elliott, Cybill Shepherd, David Soul, Edward Albert",60 min,Drama
The Krofft Supershow,1976.0,1978.0,7.4,"Michael Lembeck, Debra Clinger, Mickey McMeel, Louise DuArt",****,"Family, Fantasy, Sci-Fi"
The Famous Five,1978.0,1979.0,7.4,"Marcus Harris, Gary Russell, Jennifer Thanisch, Michele Galagher",25 min,"Adventure, Crime, Family"
Alleyn Mysteries,1990.0,1994.0,7.7,"William Simons, Patrick Malahide, Belinda Lang, Tim Dutton",****,"Crime, Drama, Mystery"
Emily Owens M.D.,2012.0,2013.0,7.5,"Mamie Gummer, Justin Hartley, Aja Naomi King, Michael Rady",43 min,"Comedy, Drama, Romance"
The Lakes,1997.0,1999.0,8.1,"Kaye Wragg, John Simm, Charles Dale, Robert Pugh",374 min,Drama
Cold Squad,1998.0,2005.0,6.8,"Julie Stewart, Garry Chalk, Tamara Marie Watson, Gregory Calpakis",60 min,"Crime, Drama, Mystery"
18 Wheels of Justice,2000.0,2001.0,5.7,"G. Gordon Liddy, Lucky Vanous, Lisa Thornhill, Billy Dee Williams",60 min,"Action, Crime, Drama"
I Live with Models,2015.0,2017.0,3,"David Hoffman, Brianne Howey, Rebecca Ballantine Reid, Rico Aragon",22 min,Comedy
Thundarr the Barbarian,1980.0,1981.0,7.5,"Henry Corden, Robert Ridgely, Nellie Bellflower, Dick Tufeld",30 min,"Animation, Action, Adventure"
Pôr do Sol,2021.0,2022.0,8.7,"Gabriela Barros, Diogo Amaral, Marco Delgado, Sofia Sá da Bandeira",****,Comedy
The Fugitive,2000.0,2001.0,6.9,"Tim Daly, Mykelti Williamson, Stephen Lang, Lia Johnson",60 min,"Action, Drama, Mystery"
Jumanji,1996.0,1999.0,6.3,"Bill Fagerbakke, Debi Derryberry, Ashley Johnson, Melanie Chartoff",22 min,"Animation, Action, Adventure"
Family Affairs,1997.0,2005.0,5.5,"Ebony Thomas, Nicola Duffett, David Easter, Barbara Young",30 min,Drama
Blackstone,2009.0,2015.0,7.4,"Carmen Moore, Eric Schweig, Michelle Thrush, Steven Cree Molison",44 min,Drama
Six Degrees,2006.0,2008.0,7.6,"Jay Hernandez, Bridget Moynahan, Erika Christensen, Dorian Missick",****,Drama
Slugterra,2012.0,2016.0,7,"Lee Tockar, Sam Vincent, Andrew Francis, Shannon Chan-Kent",22 min,"Animation, Action, Adventure"
Quacks,2017.0,2018.0,7.7,"Rory Kinnear, Tom Basden, Mathew Baynton, Lydia Leonard",30 min,Comedy
The Hughleys,1998.0,2002.0,6,"D.L. Hughley, Elise Neal, Eric Allan Kramer, John Henton",30 min,Comedy
Shoestring,1979.0,1980.0,7.5,"Trevor Eve, Michael Medwin, Doran Godwin, Liz Crowther",50 min,Drama
Nit i dia,2016.0,2017.0,7.6,"Clara Segura, Miquel Fernández, David Verdaguer, Oriol Vila",52 min,Thriller
Cracking Up,2004.0,2006.0,6.6,"Jake Sandvig, Molly Shannon, Christopher McDonald, Caitlin Wachs",30 min,Comedy
Tales of Tomorrow,1951.0,1953.0,7.1,"Leslie Nielsen, Cameron Prud'Homme, Edgar Stehli, Theo Goetz",25 min,"Drama, Horror, Mystery"
Back in the Game,2013.0,2014.0,6.3,"James Caan, Maggie Lawson, Benjamin Koldyke, Griffin Gluck",22 min,Comedy
Good Eats,1999.0,2012.0,8.9,"Alton Brown, Brett Soll, Vickie Eng, Deb Duchon",30 min,"Documentary, Comedy"
"Richard Diamond, Private Detective",1957.0,1960.0,7.9,"David Janssen, Roxane Brooks, Russ Conway, Regis Toomey",30 min,"Action, Crime, Drama"
Soñadoras,1998.0,1999.0,7.6,"Alejandra Ávalos, Arturo Peniche, Ariel López Padilla, José Carlos Ruiz",44 min,"Adventure, Drama, Romance"
Housos,2011.0,2022.0,7.1,"Paul Fenech, Elle Dawe, Kevin Taumata, Vanessa Davis",30 min,Comedy
Franklin,1997.0,2006.0,6.4,"Noah Reid, Leah Renee, Elizabeth Saunders, Richard Newman",23 min,"Animation, Comedy, Family"
ReGenesis,2004.0,2008.0,7.9,"Peter Outerbridge, Conrad Pla, Dmitry Chepovetsky, Mayko Nguyen",49 min,"Drama, Mystery, Sci-Fi"
Bäst i test,2017.0,2023.0,8.3,"Barbro 'Babben' Larsson, David Sundin, Kristina Petrushina, Anis Don Demina",60 min,Comedy
Eagleheart,2011.0,2014.0,7.4,"Chris Elliott, Maria Thayer, Brett Gelman, Jack Wallace",****,"Action, Comedy"
Legends of Chima,2013.0,2014.0,6,"David Attar, Bethany Brown, Bill Courage, Scott Shantz",22 min,"Animation, Action, Adventure"
Paradise Hotel,2003.0,2019.0,5.1,"Amanda Byram, Mark Thompson, McKenna Maduli, James Adamitis",60 min,"Reality-TV, Romance"
Bakuman.,2010.0,2013.0,8,"Dan Green, Jun'ichi Suwabe, Kevin T. Collins, Veronica Taylor",24 min,"Animation, Comedy, Drama"
Spitting Image,2020.0,2021.0,5.6,"Jess Robinson, John DiMaggio, Matt Forde, Indira Varma",23 min,Comedy
The Hollywood Squares (Daytime),1965.0,1980.0,6.8,"Peter Marshall, Kenny Williams, Cliff Arquette, Paul Lynde",30 min,"Comedy, Family, Game-Show"
Witch Craft Works,2014.0,2015.0,6.7,"Yûsuke Kobayashi, Asami Seto, Shiori Izawa, Ai Kayano",22 min,"Animation, Action, Comedy"
D'Artacan y los tres mosqueperros,1981.0,1982.0,7.3,"Eduardo Jover, Gloria Cámara, Manuel Peiró, Jesús Nieto",24 min,"Animation, Adventure, Comedy"
Ally,1999.0,2000.0,5.9,"Calista Flockhart, Courtney Thorne-Smith, Lisa Nicole Carson, Jane Krakowski",30 min,"Comedy, Drama, Fantasy"
Marry Me,2014.0,2015.0,6.3,"Casey Wilson, Ken Marino, John Gemberling, Sarah Wright",30 min,"Comedy, Romance"
Kenny vs. Spenny,2002.0,2010.0,8.1,"Kenny Hotz, Spencer Rice, Sebastian Cluer, Tzafi Hotz",22 min,"Comedy, Game-Show, Reality-TV"
Bobobo-bo Bo-bobo,2003.0,2005.0,7.1,"Takehito Koyasu, Ai Nonaka, Masaya Onosaka, Shin'ichirô Ôta",26 min,"Animation, Action, Adventure"
BuzzFeed Unsolved: True Crime,2016.0,2021.0,8.8,"Ryan Bergara, Shane Madej, Brent Bennett, Daysha Edewi",****,"Documentary, Comedy, Crime"
Second Noah,1996.0,1998.0,7.5,"Daniel Hugh Kelly, Betsy Brantley, James Marsden, Ashley Gorrell",60 min,"Drama, Family"
Sakurasou no Pet na Kanojo,2012.0,2013.0,7.7,"Yoshitsugu Matsuoka, Ai Kayano, Mariko Nakatsu, Natsumi Takamori",24 min,"Animation, Comedy, Drama"
The Cisco Kid,1950.0,1956.0,7.1,"Duncan Renaldo, Leo Carrillo, Troy Melton, Bill Catching",30 min,Western
Bnei Aruba,2013.0,2016.0,7.5,"Jonah Lotan, Tomer Capone, Nevo Kimchi, Shmil Ben Ari",44 min,"Drama, Thriller"
Gabby Duran & The Unsittables,2019.0,2021.0,5.5,"Kylie Cantrall, Maxwell Acee Donovan, Coco Christo, Valery M. Ortiz",****,"Comedy, Family, Sci-Fi"
I Am Frankie,2017.0,2018.0,6,"Alex Hook, Kyson Facer, Sophia Forest, Nicole Alyse Nelson",22 min,"Comedy, Drama, Sci-Fi"
The Lucy-Desi Comedy Hour,1957.0,1960.0,8.3,"Lucille Ball, Desi Arnaz, Vivian Vance, William Frawley",60 min,"Comedy, Family"
Çalikusu,2013.0,2014.0,7.4,"Fahriye Evcen Özçivit, Burak Özçivit, Mehmet Özgür, Pinar Caglar Genctürk",120 min,"Drama, History, Romance"
Baggage,2010.0,2012.0,6.4,"Jerry Springer, James J. Zito III, Rob Marrocco, Fox Cellars",30 min,Game-Show
Pickle and Peanut,2015.0,2018.0,4.2,"Johnny Pemberton, Jon Heder, Joel Trussell, Noah Jones",30 min,"Animation, Short, Adventure"
Up Pompeii!,1969.0,1970.0,7.6,"Frankie Howerd, Elizabeth Larner, Kerry Gardner, Jeanne Mockford",30 min,"Comedy, History"
Krypto the Superdog,2005.0,2006.0,5.5,"Sam Vincent, Brian Drummond, Scott McNeil, Alberto Ghisi",30 min,"Animation, Action, Adventure"
You Bet Your Life,1950.0,1961.0,8.5,"Groucho Marx, George Fenneman, Melinda Marx, Tuulikki Woods",30 min,"Comedy, Family, Game-Show"
The Likely Lads,1964.0,1966.0,7.1,"James Bolam, Rodney Bewes, Bartlett Mullins, Don McKillop",30 min,Comedy
Schuld,2015.0,2019.0,7.1,"Moritz Bleibtreu, Anna Stieblich, Pheline Roggan, Laila Maria Witt",45 min,Crime
Black Tie Nights,2004.0,2005.0,4.8,"Glen Meadows, Beverly Lynne, Tiffany Hendra, Amy Lindsay",30 min,"Drama, Romance"
The Yogi Bear Show,1961.0,1988.0,6.6,"Daws Butler, Don Messick, Jimmy Weldon, Vance Colvig Jr.",30 min,"Animation, Comedy, Family"
Fat Friends,2000.0,2005.0,7.6,"Ruth Jones, Janet Dibley, Alison Steadman, Gaynor Faye",48 min,Drama
In Search of...,1976.0,1982.0,8.5,"Leonard Nimoy, Francis Hitching, Hans Holzer, George O. Abell",30 min,"Documentary, Mystery, Sci-Fi"
Intelligence,2005.0,2007.0,8.2,"Ian Tracey, Klea Scott, John Cassini, Matt Frewer",44 min,"Crime, Drama, Mystery"
Lancelot Link: Secret Chimp,1970.0,1971.0,7.6,"Dayton Allen, Joan Gerber, Bernie Kopell, Malachi Throne",60 min,"Adventure, Comedy, Family"
"Mike Hammer, Private Eye",1997.0,1998.0,7.2,"Stacy Keach, Shane Conrad, Shannon Whirry, Kent Williams",60 min,"Crime, Drama, Mystery"
Jenny Jones,1991.0,2003.0,3.7,"Jenny Jones, Matthew Sheridan, Crystal Storm, Valerie Mikita",60 min,"Drama, Talk-Show"
Rob & Big,2006.0,2008.0,7.5,"Rob Dyrdek, Chris Boykin, Chris Pfaff, Rashawn Davis",30 min,"Comedy, Reality-TV, Sport"
Love of Life,1951.0,1980.0,7.7,"Audrey Peters, Ron Tomme, Peggy McCay, Jean McBride",25 min,"Drama, Romance"
Herrens veje,2017.0,2018.0,7.6,"Lars Mikkelsen, Ann Eleonora Jørgensen, Simon Sears, Fanny Louise Bernth",60 min,Drama
Black-out,2020.0,2021.0,6.3,"Sara de Roo, Lucas Van den Eynde, Anna De Ceulaer, Matthieu Sys",****,"Action, Drama"
Love & War,1992.0,1995.0,6.8,"Jay Thomas, Joanna Gleason, Joel Murray, Suzie Plakson",30 min,"Comedy, Romance"
Mob Wives,2011.0,2016.0,5,"Drita D'Avanzo, Renee Graziano, Karen Gravano, Carla Facciolo",43 min,Reality-TV
The Legend of Tarzan,2001.0,2003.0,6.7,"Michael T. Weiss, Olivia d'Abo, Jim Cummings, April Winchell",22 min,"Animation, Action, Adventure"
Madagascar: A Little Wild,2020.0,2022.0,5.9,"Shaylin Becton, Tucker Chandler, Luke Lowe, Amir O'Neil",23 min,"Animation, Adventure, Comedy"
Well-Intended Love,2019.0,2020.0,7.2,"Kaicheng Xu, Ian Yi, Shuang Wang, Qianshuo Huang",45 min,"Drama, Romance"
Lucky Louie,2006.0,2007.0,7.8,"Louis C.K., Pamela Adlon, Mike Hagerty, Laura Kightlinger",30 min,Comedy
The Mill,2013.0,2014.0,7.5,"Kerrie Hayes, Barbara Marten, Ciaran Griffiths, Matthew McNulty",60 min,Drama
Terrahawks,1983.0,1986.0,7.2,"Jeremy Hitchen, Denise Bryer, Anne Ridler, Robbie Stevens",23 min,"Animation, Action, Adventure"
Paddington,1976.0,1993.0,7.1,"Michael Hordern, Joel Grey",30 min,"Animation, Family"
Wabbit: A Looney Tunes Production,2015.0,2020.0,5.7,"Jeff Bergman, Dee Bradley Baker, Bob Bergen, Matthew Craig",11 min,"Animation, Short, Adventure"
The Defenders,1961.0,1965.0,8.1,"E.G. Marshall, Robert Reed, Polly Rowles, Ossie Davis",60 min,"Crime, Drama"
Kid Cosmic,2021.0,2022.0,7.9,"Amanda Céline Miller, Lily Rose Silver, Keith Ferguson, Fred Tatasciore",25 min,"Animation, Short, Action"
Top Cat,1961.0,1962.0,7.1,"Arnold Stang, Maurice Gosfield, Marvin Kaplan, Allen Jenkins",30 min,"Animation, Comedy, Crime"
Megas XLR,2004.0,2005.0,8.3,"David DeLuise, Wendee Lee, Steve Blum, Scot Rienecker",30 min,"Animation, Short, Action"
The Yoda Chronicles,2013.0,2014.0,7.1,"Brian Dobson, Michael Donovan, Anthony Daniels, Tom Kane",****,"Animation, Family, Fantasy"
Dan Vs.,2011.0,2013.0,7.7,"Curtis Armstrong, Paget Brewster, David Foley, Dan Mandel",22 min,"Animation, Adventure, Comedy"
The Girl from Tomorrow,1991.0,1992.0,8,"Katharine Cullen, Melissa Marshall, James Findlay, Andrew Clarke",23 min,"Adventure, Family, Fantasy"
Over Water,2018.0,2020.0,6.7,"Tom Dewispelaere, Natali Broods, Tom Van Dyck, Jeroen Perceval",45 min,Drama
Neo Yokio,2017.0,2018.0,5.9,"Jude Law, Jaden Smith, Susan Sarandon, The Kid Mero",23 min,"Animation, Action, Adventure"
Nichols,1971.0,1972.0,7.9,"James Garner, Margot Kidder, Neva Patterson, John Beck",60 min,Western
Odyssey 5,2002.0,2004.0,7.5,"Peter Weller, Sebastian Roché, Christopher Gorham, Leslie Silva",60 min,"Action, Adventure, Drama"
In the Long Run,2017.0,2020.0,7.4,"Jimmy Akingbola, Madeline Appiah, Bill Bailey, Idris Elba",30 min,Comedy
The Job Lot,2013.0,2015.0,7.1,"Sarah Hadland, Russell Tovey, Angela Curran, Jo Enright",30 min,Comedy
The Soup,2004.0,2020.0,8.2,"Joel McHale, Kelly Levy, Anndi McAfee, Lou the Chihuahua",25 min,Comedy
Strawberry Shortcake,2003.0,2008.0,5.2,"Rachel Ware, Samantha Triba, Sarah Heinke, Nils Haaland",30 min,"Animation, Family, Musical"
"Carlos, Rey Emperador",2015.0,2016.0,7.4,"Álvaro Cervantes, Alfonso Bassave, Marina Salas, Félix Gómez",****,"Biography, Drama, History"
Nature Cat,2015.0,2021.0,7.3,"Taran Killam, Kate McKinnon, Kate Micucci, Bobby Moynihan",24 min,"Animation, Action, Adventure"
Danger Bay,1984.0,1990.0,7.5,"Donnelly Rhodes, Christopher Crabb, Ocean Hellman, Hagan Beggs",30 min,"Adventure, Family"
Bizimkiler,1989.0,2002.0,8.2,"Ercan Yazgan, Cezmi Baskin, Halit Akçatepe, Zihni Göktay",60 min,"Comedy, Family"
Madicken,1979.0,1983.0,6.8,"Jonna Liljendahl, Björn Granath, Lis Nilheim, Liv Alsterlund",27 min,"Drama, Family"
Nowhere Man,1995.0,1996.0,8.4,"Bruce Greenwood, Megan Gallagher, Marvin LaRoy Sanders, Sam A. Mowry",44 min,"Mystery, Sci-Fi, Thriller"
Dejimon Adobenchâ,1999.0,2000.0,7.8,"Hiroaki Hirata, Toshiko Fujita, Chika Sakamoto, Yûko Mizutani",30 min,"Animation, Action, Adventure"
Strange Empire,2014.0,2015.0,6.3,"Cara Gee, Tattiawna Jones, Melissa Farman, Aaron Poole",60 min,"Drama, Western"
Mata Hari,2016.0,2017.0,6.1,"Vahina Giocante, Aleksey Guskov, Viktoriya Isakova, Keith Silverstein",60 min,"Drama, History"
Inspector Borowski,2016.0,2019.0,7.9,"Axel Milberg, Sibel Kekilli",****,Crime
La Doña,2016.0,2020.0,7,"Aracely Arámbula, Wayne LeGette, José María Galeano, Andrea Martí",45 min,"Drama, Romance"
Playing the Field,1998.0,2002.0,7.4,"Ralph Ineson, Jo McInnes, Melanie Hill, Lorraine Ashbourne",60 min,"Drama, Romance, Sport"
Chocolate,2019.0,2020.0,7.6,"Ha Ji-Won, Yoon Kyesang, Seung-jo Jang, Jin-Woong Min",70 min,"Drama, Romance"
Bedlam,2011.0,2013.0,6.4,"Hugo Speer, Charlotte Salt, Lacey Turner, Theo James",45 min,"Drama, Horror, Mystery"
La Viuda Negra,2014.0,2016.0,6.9,"Ana Serradilla, Julián Román, Juan Pablo Gamboa, Francisco Bolívar",****,Crime
Holmes and Yoyo,1976.0,1977.0,5.9,"John Schuck, Richard B. Shull, Bruce Kirby, Andrea Howard",30 min,"Comedy, Crime, Sci-Fi"
Toddlers and Tiaras,2009.0,2016.0,1.7,"MaKenzie Myers, Dawn Rochelle, Wendy D. Lee, Alana Thompson",45 min,Reality-TV
Everest: Beyond the Limit,2006.0,2009.0,8.4,"Phurba Tashi Sherpa, Darius Vaiciulis, Fred Ziel, Rod Baber",****,"Documentary, Adventure"
The Farmer's Daughter,1963.0,1966.0,7.5,"Inger Stevens, William Windom, Cathleen Nesbitt, Mickey Sholdar",30 min,Comedy
Anak Jalanan,2006.0,2017.0,3.4,"Cut Meyriska, Natasha Wilona, Immanuel Caesar Hito, Ammar Zoni",****,Family
Krøniken,2004.0,2007.0,7.2,"Anne Louise Hassing, Anders W. Berthelsen, Maibritt Saerens, Waage Sandø",58 min,Drama
Space Ghost,1966.0,1968.0,7.3,"Don Messick, Ginny Tyler, Gary Owens, Tim Matheson",30 min,"Animation, Action, Adventure"
Johnny Test,2021.0,2022.0,6.3,"James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant",11 min,"Animation, Action, Adventure"
Cry Wolfe,2014.0,2016.0,3.1,"Brian S. Wolfe, Janine McCarthy, Jose Rosete, Brendan Connor",****,"Documentary, Crime, Drama"
$#*! My Dad Says,2010.0,2011.0,6.2,"William Shatner, Jonathan Sadowski, Nicole Sullivan, Will Sasso",30 min,Comedy
Etkileyici,2021.0,2023.0,6.6,"Aslihan Malbora, Mehmetcan Mincinozlu, Ali Barkin, Ilker Kizmaz",30 min,"Crime, Drama"
The Real Housewives of Dallas,2016.0,2021.0,4.8,"Stephanie Hollman, Brandi Redmond, Kameron Westcott, D'Andra Simmons",43 min,Reality-TV
USA Up All Night,1989.0,1998.0,8.5,"Rhonda Shear, Gilbert Gottfried, Caroline Schlitt, Linnea Quigley",****,"Comedy, Drama, Horror"
The Gifted,2017.0,2018.0,8.2,"Korapat Kirdpan, Wachirawit Ruangwiwat, Nichapalak Thongkham, Ramida Jiranorraphat",45 min,"Drama, Fantasy, Mystery"
Dick Turpin,1979.0,1982.0,7.4,"Richard O'Sullivan, Michael Deeks, Christopher Benjamin, Billy Dean",30 min,"Action, Adventure, Biography"
Transformers: Cyberverse,2018.0,2021.0,6.8,"Jeremy Levy, Jake Foushee, Sophia Isabella, Ryan Andes",11 min,"Animation, Short, Action"
The Making of the Mob,2015.0,2016.0,7.8,"Ian Bell, Craig Thomas Rivela, Rich Graff, John Binder",343 min,"Documentary, Crime, History"
Kaamelott,2004.0,2009.0,8.8,"Alexandre Astier, Lionnel Astier, Franck Pitiot, Jean-Christophe Hembert",7 min,"Short, Adventure, Comedy"
Bia,2019.0,2020.0,6.8,"Isabela Souza, Julio Peña, Guido Messina, Andrea de Alba",****,"Action, Comedy, Drama"
Metal Hurlant Chronicles,2012.0,2014.0,5.7,"Scott Adkins, Karl E. Landler, Dominique Pinon, Lygie Duvivier",22 min,"Action, Sci-Fi"
Women of Wrestling,2000.0,2023.0,7.2,"Lana Kinnear, Erica D. Porter, Jessie Belle McCoy, Twana Barnett",60 min,"Action, Comedy, Sport"
Rude Awakening,1998.0,2001.0,7.4,"Sherilyn Fenn, Jonathan Penner, Lynn Redgrave, Rain Pryor",22 min,Comedy
El vecino,2019.0,2021.0,6.5,"Quim Gutiérrez, Clara Lago, Adrián Pino, Catalina Sopelana",30 min,"Action, Comedy"
Telenovela,2015.0,2016.0,6.9,"Eva Longoria, Jencarlos Canela, Diana Maria Riva, Amaury Nolasco",30 min,Comedy
Annie Oakley,1954.0,1957.0,7.3,"Gail Davis, Brad Johnson, Jimmy Hawkins, Bob Woodward",30 min,Western
My World and Welcome to It,1969.0,1970.0,8.5,"William Windom, Joan Hotchkis, Lisa Gerritsen, Harold J. Stone",30 min,Comedy
Dinner Date,2010.0,2022.0,6,"Charlotte Hudson, Natalie Casey, Katie Norville, Robert Ince",60 min,Reality-TV
The Mayor,2017.0,2018.0,5.7,"Brandon Micheal Hall, Lea Michele, Marcel Spears, Bernard David Jones",30 min,Comedy
Hawthorne,2009.0,2011.0,6,"Jada Pinkett Smith, Suleka Mathew, Hannah Hodson, Michael Vartan",43 min,Drama
Rekka no honoo,1997.0,1998.0,7.3,"Kôsuke Okano, Hikaru Midorikawa, Mariette Sluyter, Motoko Kumai",22 min,"Animation, Action, Adventure"
Romper Room,1953.0,1994.0,7.4,"Sally Claster Gelbard, Molly McCloskey, Bruce Edward Hall, Nancy Claster",60 min,Family
Sunburn,1999.0,2000.0,7.7,"Michelle Collins, Rebecca Callard, Sharon Small, James Buller",50 min,"Comedy, Drama"
Kiraz Mevsimi,2014.0,2015.0,5.6,"Özge Gürel, Serkan Çayoglu, Nilperi Sahinkaya, Daghan Külegeç",120 min,"Comedy, Romance"
When the Boat Comes In,1976.0,1981.0,8.5,"James Bolam, James Garbutt, Jean Heywood, John Nightingale",50 min,"Drama, History"
Special Unit 2,2001.0,2002.0,7.5,"Michael Landes, Alexondra Lee, Richard Gant, Danny Woodburn",60 min,"Action, Comedy, Crime"
Aída,2005.0,2014.0,6.5,"Paco León, Pepe Viyuela, Melani Olivares, David Castillo",60 min,Comedy
The Troop,2009.0,2013.0,6,"Nicholas Purcell, Gage Golightly, John Marshall Jones, David Del Rio",30 min,"Action, Adventure, Comedy"
Coming Up,2003.0,2013.0,6.3,"Fotios Foddy Savva, Johnny Harris, Anthony Flanagan, Ben Smith",****,Drama
The Rebel,1959.0,1961.0,7.8,"Nick Adams, Chuck Hamilton, Sid Troy, Ross Sturlin",30 min,Western
Scrapheap,1998.0,2009.0,7.5,"Robert Llewellyn, Cathy Rogers, Lisa Rogers, Dick Strawbridge",60 min,Game-Show
Night Visions,2001.0,2002.0,7.5,"Henry Rollins, Emily Holmes, Dion Luther, Ty Olsson",43 min,"Fantasy, Horror, Mystery"
Wilfred,2007.0,2010.0,7.8,"Jason Gann, Adam Zwar, Cindy Waddingham, Kim Gyngell",25 min,"Comedy, Drama"
Devon Ke Dev... Mahadev,2011.0,2014.0,9.3,"Mohit Raina, Mouni Roy, Saurabh Raj Jain, Sonarika Bhadoria",22 min,"Action, Drama, Fantasy"
Husbands,2011.0,2013.0,7.5,"Brad Bell, Sean Hemeon, Alessandra Torresani, Clare Grant",****,Comedy
Max Steel,2013.0,2015.0,6.6,"Andrew Francis, Sam Vincent, Michael Dobson, Brian Drummond",23 min,"Animation, Action, Adventure"
Street Sharks,1994.0,1997.0,6.2,"Andrew Rannells, D. Kevin Williams, Jim Hoggatt, Lee Tockar",22 min,"Animation, Action, Adventure"
Zeg 'ns Aaa,1981.0,2010.0,6.7,"Carry Tefsen, Sjoukje Hooymaayer, John Leddy, Manfred de Graaf",23 min,Comedy
Hyperdrive,2006.0,2007.0,6.7,"Nick Frost, Kevin Eldon, Miranda Hart, Dan Antopolski",29 min,"Comedy, Sci-Fi"
The Scarlet Pimpernel,1999.0,2000.0,7.4,"Richard E. Grant, Ronan Vibert, Gerard Murphy, Ron Donachie",540 min,"Adventure, Drama"
Acapulco H.E.A.T.,1993.0,1994.0,5.5,"Catherine Oxenberg, Brendan Kelly, Alison Armitage, Spencer Rochfort",60 min,"Action, Adventure"
The Mob Doctor,2012.0,2013.0,6.5,"Jordana Spiro, William Forsythe, James Carpinello, Zach Gilford",60 min,"Crime, Drama, Mystery"
The Baron,1966.0,1967.0,7.2,"Steve Forrest, Sue Lloyd, Paul Ferris, Colin Gordon",49 min,"Crime, Drama"
Karagül,2013.0,2016.0,5.1,"Ece Uslu, Mesut Akusta, Hülya Duyar, Hilal Altinbilek",100 min,Drama
Private Benjamin,1981.0,1983.0,6.2,"Lorna Patterson, Hal Williams, Eileen Brennan, Lisa Raggio",30 min,Comedy
El Príncipe,2014.0,2016.0,7.3,"Jose Coronado, Álex González, Hiba Abouk, Rubén Cortada",75 min,"Action, Adventure, Crime"
La Ley del Corazón,2016.0,2019.0,8.1,"Mabel Moreno, Lina Tejeiro, Iván López, Ghia Burns",****,"Comedy, Drama, Romance"
The 13 Ghosts of Scooby-Doo,1985.0,1986.0,7.3,"Bob Arbogast, Gay Autterson, Susan Blu, Hamilton Camp",30 min,"Animation, Adventure, Comedy"
Adventures of Wild Bill Hickok,1951.0,1958.0,7.7,"Guy Madison, Andy Devine, Sam Flint, William Haade",30 min,"Family, Western"
The Elephant Princess,2008.0,2011.0,6.4,"Miles Szanto, Siam, Emily Robins, Maddy Tyers",30 min,"Adventure, Drama, Family"
Shining Time Station,1989.0,1993.0,8.1,"Didi Conn, Brian Edward O'Connor, Alan Semok, Olga Felgemacher",30 min,"Comedy, Family, Fantasy"
Acacias 38,2015.0,2021.0,5.3,"María Blanco, David Venancio Muro, Sandra Marchena, Inma Pérez-Quirós",****,Drama
Pramface,2012.0,2014.0,7.5,"Sean Verey, Scarlett Alice Johnson, Yasmin Paige, Dylan Edwards",****,Comedy
Top of the Pops,1964.0,2022.0,6.8,"The Ladybirds, Pan's People, Jimmy Savile, Legs & Co",30 min,Music
Love Connection,1983.0,1998.0,6.2,"Chuck Woolery, John Cervenka, Rod Roddy, Gene Wood",30 min,"Reality-TV, Romance"
The Book Group,2002.0,2003.0,7.6,"Anne Dudek, Bonnie Engstrom, Michelle Gomez, James Lance",24 min,"Comedy, Drama"
Brimstone,1998.0,1999.0,8.1,"Peter Horton, John Glover, Lori Petty, Teri Polo",60 min,"Crime, Drama, Fantasy"
Kuzey Yildizi,2019.0,2021.0,5.9,"Ismail Demirci, Aslihan Güner, Toygan Avanoglu, Gizem Günes",120 min,"Comedy, Romance"
Match Game,2016.0,2021.0,6.1,"Alec Baldwin, Steve French, Caroline Rhea, Jack McBrayer",60 min,"Comedy, Game-Show"
